"ID","Name","Synonyms","Level","Description","CAS Number","PubChem ID","ChEBI ID","FooDB ID","HMDB ID","SMILES","Formula","InChI","InChIKey","Average mass","Mono. mass"
"1","Polyphenols","","Combined","","","","","","","","","","","",""
"5","Isoflavones","","Combined","","","","","","","","","","","",""
"3","Genistein","","Single","","446-72-0","5280961","28088","FDB011828","HMDB03217","OC1=CC=C(C=C1)C1=COC2=CC(O)=CC(O)=C2C1=O","C15H10O5","InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)11-7-20-13-6-10(17)5-12(18)14(13)15(11)19/h1-7,16-18H","TZBJGXHYKVUXJN-UHFFFAOYSA-N","270.24","270.052823422"
"4","Daidzein","","Single","","486-66-8","5281708","28197","FDB002608","HMDB03312","OC1=CC=C(C=C1)C1=COC2=C(C=CC(O)=C2)C1=O","C15H10O4","InChI=1S/C15H10O4/c16-10-3-1-9(2-4-10)13-8-19-14-7-11(17)5-6-12(14)15(13)18/h1-8,16-17H","ZQSIJRDFPHDXIC-UHFFFAOYSA-N","254.241","254.057908802"
"10","Equol","","Single","","531-95-3","91469","34741","FDB021824","HMDB02209","OC1=CC=C(C=C1)[C@H]1COC2=C(C1)C=CC(O)=C2","C15H14O3","InChI=1S/C15H14O3/c16-13-4-1-10(2-5-13)12-7-11-3-6-14(17)8-15(11)18-9-12/h1-6,8,12,16-17H,7,9H2/t12-/m1/s1","ADFCQWZHKCXPAJ-GFCCVEGCSA-N","242.2699","242.094294314"
"17","O-Desmethylangolensin","ODMA","Single","Metabolite of daidzein.","21255-69-6","89472","88902","FDB023387","HMDB04629","CC(C(=O)C1=C(O)C=C(O)C=C1)C1=CC=C(O)C=C1","C15H14O4","InChI=1S/C15H14O4/c1-9(10-2-4-11(16)5-3-10)15(19)13-7-6-12(17)8-14(13)18/h2-9,16-18H,1H3","JDJPNKPFDDUBFV-UHFFFAOYSA-N","258.2693","258.089208936"
"15","Glycitein","","Single","","40957-83-3","5317750","34778","FDB000698","HMDB05781","COC1=C(O)C=C2OC=C(C(=O)C2=C1)C1=CC=C(O)C=C1","C16H12O5","InChI=1S/C16H12O5/c1-20-15-6-11-14(7-13(15)18)21-8-12(16(11)19)9-2-4-10(17)5-3-9/h2-8,17-18H,1H3","DXYUAIFZCFRPTH-UHFFFAOYSA-N","284.267","284.068473486"
"18","Dihydrodaidzein","","Single","","17238-05-0","176907","75842","FDB023752","HMDB05760","OC1=CC=C(C=C1)C1COC2=C(C=CC(O)=C2)C1=O","C15H12O4","InChI=1S/C15H12O4/c16-10-3-1-9(2-4-10)13-8-19-14-7-11(17)5-6-12(14)15(13)18/h1-7,13,16-17H,8H2","JHYXBPPMXZIHKG-UHFFFAOYSA-N","256.2534","256.073558872"
"19","Dihydrogenistein","","Single","","21554-71-2","9838356","34707","FDB023788","HMDB05897","OC1=CC=C(C=C1)C1COC2=CC(O)=CC(O)=C2C1=O","C15H12O5","InChI=1S/C15H12O5/c16-9-3-1-8(2-4-9)11-7-20-13-6-10(17)5-12(18)14(13)15(11)19/h1-6,11,16-18H,7H2","UQGVUYNHDKMLSE-UHFFFAOYSA-N","272.2528","272.068473494"
"2","Quercetin","","Single","","117-39-5","5280343","16243","FDB011904","HMDB05794","OC1=CC2=C(C(O)=C1)C(=O)C(O)=C(O2)C1=CC=C(O)C(O)=C1","C15H10O7","InChI=1S/C15H10O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,16-19,21H","REFJWTPEDVJJIY-UHFFFAOYSA-N","302.2357","302.042652674"
"20","Kaempferol","","Single","","520-18-3","5280863","28499","FDB000633","HMDB05801","OC1=CC=C(C=C1)C1=C(O)C(=O)C2=C(O1)C=C(O)C=C2O","C15H10O6","InChI=1S/C15H10O6/c16-8-3-1-7(2-4-8)15-14(20)13(19)12-10(18)5-9(17)6-11(12)21-15/h1-6,16-18,20H","IYRMWMYZSQPJKC-UHFFFAOYSA-N","286.2363","286.047738052"
"21","Naringenin","(S)-Naringenin","Single","","480-41-1","439246","17846","FDB000678","HMDB02670","[H][C@]1(CC(=O)C2=C(O1)C=C(O)C=C2O)C1=CC=C(O)C=C1","C15H12O5","InChI=1S/C15H12O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-6,13,16-18H,7H2/t13-/m0/s1","FTVWIRXFELQLPI-ZDUSSCGKSA-N","272.2528","272.068473494"
"22","Hesperetin","","Single","","520-33-2","72281","28230","FDB002677","HMDB05782","COC1=C(O)C=C(C=C1)[C@@H]1CC(=O)C2=C(O)C=C(O)C=C2O1","C16H14O6","InChI=1S/C16H14O6/c1-21-13-3-2-8(4-10(13)18)14-7-12(20)16-11(19)5-9(17)6-15(16)22-14/h2-6,14,17-19H,7H2,1H3/t14-/m0/s1","AIONOLUJZLIMTK-AWEZNQCLSA-N","302.2788","302.07903818"
"26","Flavonols","","Combined","","","","","","","","","","","",""
"27","Flavanones","","Combined","","","","","","","","","","","",""
"78","Phloretin","","Single","","60-82-2","4788","17276","FDB015553","HMDB03306","OC1=CC=C(CCC(=O)C2=C(O)C=C(O)C=C2O)C=C1","C15H14O5","InChI=1S/C15H14O5/c16-10-4-1-9(2-5-10)3-6-12(18)15-13(19)7-11(17)8-14(15)20/h1-2,4-5,7-8,16-17,19-20H,3,6H2","VGEREEWJJVICBM-UHFFFAOYSA-N","274.2687","274.084123558"
